generations,N,M,K,P,b,c,β,u,v,p1,p2,ϵ,DD_mean_final,DC_mean_final,CD_mean_final,CC_mean_final,y,z,g,h,sia_sid,sia_sjd
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.2902922674999765,0.20836067999989002,0.20395249374988075,0.29739455874984994,1.0,1.0,1.0,1.0,0.075,0.09634146341463415
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.2509390000000688,0.21569935249982378,0.2664369474998291,0.2669247000001562,1.0,0.5512820512820513,0.5512820512820513,0.5512820512820513,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.20687777000006288,0.3024840824995847,0.2669368100003096,0.2237013375001593,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.3063153699997782,0.2548445799997144,0.21611302374990332,0.2227270262499497,0.48717948717948717,-0.02564102564102564,0.48717948717948717,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.2537389512500439,0.24523475875003886,0.28144884499993045,0.2195774449999963,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.2607904424998434,0.214534529999757,0.2533183887498002,0.2713566387500149,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.21912589874989757,0.27094149249991806,0.29785735999997703,0.212075248749831,1.0,0.13846153846153847,0.13846153846153847,0.13846153846153847,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.2376484037498773,0.20041797499976663,0.2747903012497088,0.28714331999991555,1.0,0.9,0.9,0.9,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.22807832750026524,0.2720006574998227,0.24833910250011593,0.25158191249988654,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.26236190749997296,0.22678799749991135,0.1995299537497999,0.31132014124997764,1.0,0.8051282051282052,0.8051282051282052,0.8051282051282052,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.26565122750017783,0.2405077712500095,0.22860742125010233,0.2652335799998627,1.0,1.0,1.0,1.0,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.5,0.5,1.0,0.2526161774999896,0.2779736237499541,0.24321432124992678,0.22619587750008996,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.75,0.75,1.0,0.20428146749988235,0.24887147374979252,0.24928416625043126,0.29756289250030865,1.0,0.9,0.9,0.9,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,1.0,1.0,1.0,0.2749575737496899,0.25198208750015955,0.2153686287499313,0.25769171000022567,1.0,-0.02564102564102564,-0.02564102564102564,-0.02564102564102564,0.0,0.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.0,0.0,1.0,0.20499475249981544,0.261079357499959,0.24370577375023164,0.2902201162498816,1.0,1.0,1.0,1.0,1.0,1.0
2.0e7,40.0,1.0,1.0,2.0,1.0,0.2,0.0,0.001,0.005,0.25,0.25,1.0,0.23060604999981615,0.26799022125018446,0.2754610650003996,0.22594266374991626,1.0,0.9,0.9,0.9,0.0,0.0
