"","generations","N","M","K","P","b","c","β","u","v","p1","p2","ϵ","DD_mean_final","DC_mean_final","CD_mean_final","CC_mean_final","y","z","g","h","sia_sid","sia_sjd","id"
"1676",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.258910059999704,0.242973711250179,0.229627706249997,0.268488522499928,0.980283255827686,0.962138335131251,0.944120715447672,0.943554536567797,0.268488522499928,0.268533073170204,"run12"
"1677",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.253575287499811,0.214289361249844,0.279096463749837,0.253038887500026,0.980340609033368,0.961716712311011,0.943706395576519,0.943127706241134,0.253038887500026,0.252973827864953,"run12"
"1678",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.199514353749857,0.301494025000226,0.273489000000055,0.225502621249949,0.979621606982525,0.960292683208216,0.94161687788385,0.94106144224966,0.225502621249949,0.226459511828366,"run12"
"1679",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.239398290000001,0.259102472499853,0.270120940000221,0.231378297499947,0.980921451532809,0.953885418977921,0.93634073089677,0.935798651534531,0.231378297499947,0.231410401584156,"run12"
"1680",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.223600281250142,0.278285648750318,0.262904851249844,0.235209218749953,0.753639835757103,-0.0256410256377428,0.211540940499518,-0.0254026564002397,0.235209218749953,0.253361862503339,"run12"
"1681",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0,0,1,0.276802732499883,0.225881426249907,0.256507702499975,0.240808138749784,0.979132467366552,0.964398998464772,0.945189890319571,0.944638929621282,0.240808138749784,0.2407123318282,"run12"
"1682",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.25,0.25,1,0.260745056250149,0.228829287499871,0.247372819999821,0.263052836250001,0.981301787365665,0.962093244618895,0.945056562626575,0.944467174897333,0.263052836250001,0.262940857193869,"run12"
"1683",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.5,0.5,1,0.193579554999834,0.267885106250027,0.301475054999847,0.237060283750158,0.97994244557161,0.96130792359327,0.942477701089117,0.942087901345715,0.237060283750158,0.237859145913876,"run12"
"1684",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,0.75,0.75,1,0.231800384999875,0.295490102499794,0.240350437500293,0.232359075000081,0.979000357686429,0.959668874618432,0.940507333588383,0.939835692593024,0.232359075000081,0.232678157682018,"run12"
"1685",2e+07,40,1,1,2,1,0.2,0,0.001,0.001,1,1,1,0.272517842500097,0.219670276249936,0.267089768749922,0.240722112499945,0.727779547389946,-0.0256410256377428,0.23728670540645,-0.0253983619029854,0.240722112499945,0.247474043703973,"run12"
